hardware_family,hardware_size,family,size,method,n,stat,inst,sqa_chain_strength_fraction,sqa_cop,sqa_fea,sqa_gap,optimum_probability,sqa_energy_gap,sqa_optimum_rate,mean_chain_break_fraction,broken_read_rate
pegasus,16,mdkp,20,unbalanced,20,std,20,1.0,0.0,0.054911747377041284,0.041861023127217546,0.0,0.023586208959099256,0.0,0.033411762431066104,0.00035707142142714284
pegasus,16,mis,8,projected_full,8,mean,20,1.0,15.0144,0.27904999999999996,0.0,0.05865,0.23784416358211846,0.05865,0.06638124999999999,0.43005000000000004
pegasus,16,mis,8,projected_full,8,std,20,1.0,4.37098916036176,0.06521155955810289,0.0,0.017074176407663125,0.024906962420263388,0.017074176407663125,0.017614468262979157,0.08676086387306203
pegasus,16,mis,8,projected_topology,8,mean,20,1.0,15.603200000000001,0.33145,0.0,0.060950000000000004,0.25153438789981875,0.060950000000000004,0.0,0.0
pegasus,16,mis,8,projected_topology,8,std,20,1.0,4.752559159021589,0.07045173880040151,0.0,0.018564684214928084,0.027269702004453927,0.018564684214928084,0.0,0.0
pegasus,16,mis,8,projected_up_support,8,mean,20,1.0,16.435200000000002,0.32685,0.0,0.06420000000000001,0.24899868767615652,0.06420000000000001,0.0,0.0
pegasus,16,mis,8,projected_up_support,8,std,20,1.0,4.664963468238525,0.07102624514924043,0.0,0.018222513547806737,0.02579046377079511,0.018222513547806737,0.0,0.0
pegasus,16,mis,8,unbalanced,8,mean,20,1.0,13.0816,0.3003,0.0,0.0511,0.264620148216444,0.0511,0.0,0.0
pegasus,16,mis,8,unbalanced,8,std,20,1.0,4.257534760868078,0.06823056499839351,0.0,0.016630995159640928,0.03061438512594084,0.016630995159640928,0.0,0.0
pegasus,16,mis,12,projected_full,12,mean,20,1.0,60.006400000000006,0.16605,0.0,0.014650000000000002,0.2686798240090384,0.014650000000000002,0.039575,0.37685
pegasus,16,mis,12,projected_full,12,std,20,1.0,32.1809819713445,0.05582962923036477,0.0,0.007856685051597779,0.02644375368008541,0.007856685051597779,0.014619809145281083,0.1097917460467771
pegasus,16,mis,12,projected_topology,12,mean,20,1.0,60.211200000000005,0.195,0.0,0.014700000000000001,0.2764313111977303,0.014700000000000001,0.0,0.0
pegasus,16,mis,12,projected_topology,12,std,20,1.0,26.070002304564532,0.06380595583485917,0.0,0.006364746656387825,0.02497330020624781,0.006364746656387825,0.0,0.0
pegasus,16,mis,12,projected_up_support,12,mean,20,1.0,61.03040000000001,0.18985000000000002,0.0,0.014900000000000002,0.2716045790969078,0.014900000000000002,0.0,0.0
pegasus,16,mis,12,projected_up_support,12,std,20,1.0,35.137377896479414,0.05873182697652101,0.0,0.00857846140050767,0.02418983735620594,0.00857846140050767,0.0,0.0
pegasus,16,mis,12,unbalanced,12,mean,20,1.0,39.321600000000004,0.16729999999999998,0.0,0.009600000000000001,0.2947097440289053,0.009600000000000001,0.0,0.0
pegasus,16,mis,12,unbalanced,12,std,20,1.0,25.229498113121473,0.053272037693334016,0.0,0.006159545437773797,0.0330199513188321,0.006159545437773797,0.0,0.0
pegasus,16,mis,16,projected_full,16,mean,20,1.0,360.44800000000004,0.1032,0.010555555555555556,0.0055000000000000005,0.2667069959169575,0.0055000000000000005,0.018975,0.26025000000000004
pegasus,16,mis,16,projected_full,16,std,20,1.0,239.45315492095733,0.025854593402333755,0.031715362169315746,0.0036537651812890218,0.032062161076324515,0.0036537651812890218,0.007532232819688994,0.08898532182332096
pegasus,16,mis,16,projected_topology,16,mean,20,1.0,347.3408,0.12685,0.0,0.0053,0.28847253352462005,0.0053,0.0,0.0
pegasus,16,mis,16,projected_topology,16,std,20,1.0,233.64296336966797,0.030489793374176878,0.0,0.0035651086939951777,0.042611192391115875,0.0035651086939951777,0.0,0.0
pegasus,16,mis,16,projected_up_support,16,mean,20,1.0,396.49280000000005,0.1129,0.005555555555555555,0.006050000000000001,0.264956081879891,0.006050000000000001,0.00021874999999999998,0.0034999999999999996
pegasus,16,mis,16,projected_up_support,16,std,20,1.0,247.37127268492597,0.031077162032592358,0.02421610524189263,0.0037745860700214534,0.028851864011624498,0.0037745860700214534,0.00028125,0.0045
pegasus,16,mis,16,unbalanced,16,mean,20,1.0,301.4656000000001,0.12805,0.010555555555555556,0.004600000000000002,0.3026749637347987,0.004600000000000002,0.0005093750000000001,0.008150000000000001
pegasus,16,mis,16,unbalanced,16,std,20,1.0,220.6919326496553,0.02555088061104744,0.031715362169315746,0.003367491648096547,0.026462960778314813,0.003367491648096547,0.0006999651218989416,0.011199441950383065
pegasus,16,mis,20,projected_full,20,mean,20,1.0,1468.0064,0.06599999999999999,0.020656565656565658,0.0014,0.2922182795668003,0.0014,0.014820000000000003,0.25185
pegasus,16,mis,20,projected_full,20,std,20,1.0,1167.6448169037706,0.018157643018850218,0.04148611016962699,0.0011135528725660043,0.023071063386622806,0.0011135528725660043,0.007730869938111751,0.11087392615038037
pegasus,16,mis,20,projected_topology,20,mean,20,1.0,1468.0064000000002,0.0935,0.03593434343434344,0.0014000000000000002,0.33851886599543757,0.0014000000000000002,0.0,0.0
pegasus,16,mis,20,projected_topology,20,std,20,1.0,1569.364854397549,0.022046541678911912,0.04937918718579606,0.0014966629547095765,0.033491546265911824,0.0014966629547095765,0.0,0.0
pegasus,16,mis,20,projected_up_support,20,mean,20,1.0,1572.864,0.07520000000000002,0.03436868686868687,0.0015,0.2882274217297548,0.0015,0.0005649999999999999,0.011150000000000002
pegasus,16,mis,20,projected_up_support,20,std,20,1.0,1890.3472671104641,0.022477989233915033,0.04719141624671457,0.0018027756377319948,0.027453635636158366,0.0018027756377319948,0.00040065571255131264,0.00783118764939265
pegasus,16,mis,20,unbalanced,20,mean,20,1.0,2306.8672000000006,0.13310000000000002,0.02888888888888889,0.0022000000000000006,0.33013211218758415,0.0022000000000000006,0.0015675,0.03075
pegasus,16,mis,20,unbalanced,20,std,20,1.0,2602.497190603702,0.0401184496210908,0.04446527289725276,0.0024819347291981718,0.03096746082614516,0.0024819347291981718,0.0014412039238081472,0.027867319569703865
zephyr,16,mdkp,5,projected_full,5,mean,20,1.0,1.2352,0.23625000000000002,0.0,0.0386,0.3275241201055024,0.0386,0.053590000000000006,0.26205
zephyr,16,mdkp,5,projected_full,5,std,20,1.0,0.5981004597891563,0.11998494697252653,0.0,0.018690639368411133,0.04164324455214236,0.018690639368411133,0.018157034449490916,0.07757672009050139
zephyr,16,mdkp,5,projected_topology,5,mean,20,1.0,1.208,0.24064999999999998,0.0,0.03775,0.3390818050007477,0.03775,0.0,0.0
zephyr,16,mdkp,5,projected_topology,5,std,20,1.0,0.5414410401881261,0.1025637728440213,0.0,0.01692003250587894,0.042278409784991144,0.01692003250587894,0.0,0.0
zephyr,16,mdkp,5,projected_up_support,5,mean,20,1.0,1.3664,0.23145000000000002,0.0,0.0427,0.32973472929550424,0.0427,0.057730000000000004,0.28065
zephyr,16,mdkp,5,projected_up_support,5,std,20,1.0,0.6722361489833762,0.10970390831688724,0.0,0.021007379655730508,0.03289297116769546,0.021007379655730508,0.0233912184376958,0.09671570451586443
zephyr,16,mdkp,5,unbalanced,5,mean,20,1.0,1.1888,0.21564999999999998,0.0,0.03715,0.33150195053109865,0.03715,0.09625000000000002,0.47205
zephyr,16,mdkp,5,unbalanced,5,std,20,1.0,0.8703338210135234,0.11053609139100225,0.0,0.027197931906672607,0.05469867107508297,0.027197931906672607,0.018415088921859706,0.053987475399392415
zephyr,16,mdkp,10,projected_full,10,mean,20,1.0,1.28,0.09905,0.007794809847807923,0.00125,0.39588047438927276,0.00125,0.15916500000000003,0.8267
zephyr,16,mdkp,10,projected_full,10,std,20,1.0,0.908709854684101,0.05079712098140996,0.018904202105788626,0.0008874119674649424,0.043672175504997204,0.0008874119674649424,0.02100329200387406,0.039436150927797196
zephyr,16,mdkp,10,projected_topology,10,mean,20,1.0,1.7920000000000003,0.1365,0.007906355747496702,0.0017500000000000003,0.3960343254852851,0.0017500000000000003,0.0,0.0
zephyr,16,mdkp,10,projected_topology,10,std,20,1.0,1.3302150202128977,0.05072031151323896,0.020575070554606664,0.001299038105676658,0.035764917462776664,0.001299038105676658,0.0,0.0
zephyr,16,mdkp,10,projected_up_support,10,mean,20,1.0,1.0752000000000002,0.0921,0.014194836889178155,0.0010500000000000002,0.39128291252180536,0.0010500000000000002,0.160785,0.8349
zephyr,16,mdkp,10,projected_up_support,10,std,20,1.0,0.8853307630484779,0.04273043411902107,0.0334234372449305,0.0008645808232895292,0.032852993674313255,0.0008645808232895292,0.01947219235217237,0.03475039568120052
zephyr,16,mdkp,10,unbalanced,10,mean,20,1.0,1.4848,0.046650000000000004,0.02223200605383204,0.00145,0.3415317146696313,0.00145,0.26888000000000006,0.96465
zephyr,16,mdkp,10,unbalanced,10,std,20,1.0,1.6661647457559534,0.027293359998358576,0.037034080786990685,0.0016271140095272983,0.04904051770250614,0.0016271140095272983,0.02042965002147613,0.01071109238126533
zephyr,16,mdkp,15,projected_full,15,mean,20,1.0,1.6384,0.07375,0.10643121951312765,5e-05,0.41957153594753016,5e-05,0.19307333333333337,0.96125
zephyr,16,mdkp,15,projected_full,15,std,20,1.0,7.141620029097039,0.03026693740701229,0.04842939277021422,0.00021794494717703366,0.03193635420836229,0.00021794494717703366,0.013616981228516763,0.013068569164219931
zephyr,16,mdkp,15,projected_topology,15,mean,20,1.0,4.9152000000000005,0.12955,0.0661514675638011,0.00015000000000000001,0.4119369151171789,0.00015000000000000001,0.0,0.0
zephyr,16,mdkp,15,projected_topology,15,std,20,1.0,11.700516337324608,0.04460658583662283,0.05278383028914363,0.00035707142142714257,0.03197806841674113,0.00035707142142714257,0.0,0.0
zephyr,16,mdkp,15,projected_up_support,15,mean,20,1.0,0.0,0.0693,0.11658062890034786,0.0,0.4141649285348111,0.0,0.19553333333333336,0.9621499999999997
zephyr,16,mdkp,15,projected_up_support,15,std,20,1.0,0.0,0.02744467161399458,0.04756958165760193,0.0,0.043552696881545845,0.0,0.012300027100241152,0.01015024630243031
zephyr,16,mdkp,15,unbalanced,15,mean,20,1.0,0.0,0.0543,0.11441527732394212,0.0,0.386710940202429,0.0,0.25701999999999997,0.9893999999999998
zephyr,16,mdkp,15,unbalanced,15,std,20,1.0,0.0,0.024390776945394748,0.06351999484949002,0.0,0.03598673579750748,0.0,0.01989560643849681,0.0047476309881876915
zephyr,16,mdkp,20,projected_full,20,mean,20,1.0,0.0,0.08455,0.13571026551371637,0.0,0.4180334690205765,0.0,0.28941999999999996,0.9989499999999998
zephyr,16,mdkp,20,projected_full,20,std,20,1.0,0.0,0.04102252430068145,0.05605164805970132,0.0,0.03387514921790522,0.0,0.02222711969644291,0.001243985530462474
zephyr,16,mdkp,20,projected_topology,20,mean,20,1.0,0.0,0.13025,0.11992353056991915,0.0,0.4144180797711017,0.0,0.0,0.0
zephyr,16,mdkp,20,projected_topology,20,std,20,1.0,0.0,0.05762540672307659,0.033801689991721916,0.0,0.026415250290478334,0.0,0.0,0.0
zephyr,16,mdkp,20,projected_up_support,20,mean,20,1.0,0.0,0.09085000000000001,0.13009417164157933,0.0,0.41681099352851814,0.0,0.29947,0.9991499999999999
zephyr,16,mdkp,20,projected_up_support,20,std,20,1.0,0.0,0.04681802537484895,0.046120445978443836,0.0,0.025110763672404758,0.0,0.01886703739329521,0.0011521718621802922
zephyr,16,mdkp,20,unbalanced,20,mean,20,1.0,0.0,0.09610000000000002,0.12454020133008878,0.0,0.41024448835430094,0.0,0.314885,0.9994999999999999
zephyr,16,mdkp,20,unbalanced,20,std,20,1.0,0.0,0.046541272006682406,0.03414073185984964,0.0,0.027583488439185386,0.0,0.020353888449139147,0.0008062257748298556
zephyr,16,mis,8,projected_full,8,mean,20,1.0,14.617600000000001,0.28225,0.0,0.057100000000000005,0.23973367304738225,0.057100000000000005,0.0590625,0.39485
zephyr,16,mis,8,projected_full,8,std,20,1.0,4.203314197154431,0.06491292244229958,0.0,0.016419196082634497,0.028766460840450012,0.016419196082634497,0.012143767691700958,0.06780138272926298
zephyr,16,mis,8,projected_topology,8,mean,20,1.0,15.36,0.3317,0.0,0.06,0.25216083702694986,0.06,0.0,0.0
zephyr,16,mis,8,projected_topology,8,std,20,1.0,4.142140123173044,0.07227869672317011,0.0,0.016180234856144702,0.02565317656326876,0.016180234856144702,0.0,0.0
zephyr,16,mis,8,projected_up_support,8,mean,20,1.0,16.435200000000002,0.32685,0.0,0.06420000000000001,0.24899868767615652,0.06420000000000001,0.0,0.0
zephyr,16,mis,8,projected_up_support,8,std,20,1.0,4.664963468238525,0.07102624514924043,0.0,0.018222513547806737,0.02579046377079511,0.018222513547806737,0.0,0.0
zephyr,16,mis,8,unbalanced,8,mean,20,1.0,13.0816,0.3003,0.0,0.0511,0.264620148216444,0.0511,0.0,0.0
zephyr,16,mis,8,unbalanced,8,std,20,1.0,4.257534760868078,0.06823056499839351,0.0,0.016630995159640928,0.03061438512594084,0.016630995159640928,0.0,0.0
zephyr,16,mis,12,projected_full,12,mean,20,1.0,46.080000000000005,0.15744999999999998,0.0,0.011250000000000001,0.2679617040706894,0.011250000000000001,0.03267916666666666,0.32510000000000006
zephyr,16,mis,12,projected_full,12,std,20,1.0,20.515808694760242,0.052161743644168944,0.0,0.0050087423571192,0.023616217055090545,0.0050087423571192,0.011702839013342967,0.0949193868501056
zephyr,16,mis,12,projected_topology,12,mean,20,1.0,53.248000000000005,0.18750000000000003,0.0,0.013000000000000001,0.27790408120897475,0.013000000000000001,0.0,0.0
zephyr,16,mis,12,projected_topology,12,std,20,1.0,26.354823892411044,0.06398554524265616,0.0,0.006434283176858165,0.02880329722406789,0.006434283176858165,0.0,0.0
zephyr,16,mis,12,projected_up_support,12,mean,20,1.0,61.03040000000001,0.18985000000000002,0.0,0.014900000000000002,0.2716045790969078,0.014900000000000002,0.0,0.0
zephyr,16,mis,12,projected_up_support,12,std,20,1.0,35.137377896479414,0.05873182697652101,0.0,0.00857846140050767,0.02418983735620594,0.00857846140050767,0.0,0.0
zephyr,16,mis,12,unbalanced,12,mean,20,1.0,39.321600000000004,0.16729999999999998,0.0,0.009600000000000001,0.2947097440289053,0.009600000000000001,0.0,0.0
zephyr,16,mis,12,unbalanced,12,std,20,1.0,25.229498113121473,0.053272037693334016,0.0,0.006159545437773797,0.0330199513188321,0.006159545437773797,0.0,0.0
zephyr,16,mis,16,projected_full,16,mean,20,1.0,370.27840000000003,0.10445,0.007142857142857143,0.0056500000000000005,0.26677961939325384,0.0056500000000000005,0.013384375,0.19315000000000002
zephyr,16,mis,16,projected_full,16,std,20,1.0,228.22623837376804,0.027993704649438594,0.031134992453861955,0.0034824560298731696,0.02527453852192265,0.0034824560298731696,0.005221360686820534,0.06738714640048205
zephyr,16,mis,16,projected_topology,16,mean,20,1.0,330.95680000000004,0.1159,0.0,0.005050000000000001,0.2857578553847989,0.005050000000000001,0.0,0.0
zephyr,16,mis,16,projected_topology,16,std,20,1.0,281.48074391147964,0.03173783231413261,0.0,0.004295055296500849,0.033392247336042326,0.004295055296500849,0.0,0.0
zephyr,16,mis,16,projected_up_support,16,mean,20,1.0,422.7072,0.11280000000000001,0.0,0.00645,0.25958133959976426,0.00645,0.00017187500000000002,0.0027500000000000003
zephyr,16,mis,16,projected_up_support,16,std,20,1.0,224.62219015440127,0.03148745782053546,0.0,0.0034274626183227732,0.02612636990591323,0.0034274626183227732,0.000255314603724503,0.004085033659592048
zephyr,16,mis,16,unbalanced,16,mean,20,1.0,321.12640000000005,0.1257,0.010555555555555556,0.004900000000000001,0.30115079597784256,0.004900000000000001,0.000390625,0.00625
zephyr,16,mis,16,unbalanced,16,std,20,1.0,270.9261727641683,0.026797574517108822,0.031715362169315746,0.004134005321718877,0.028028026464986634,0.004134005321718877,0.0006026876652753066,0.009643002644404906
zephyr,16,mis,20,projected_full,20,mean,20,1.0,2097.1520000000005,0.06555,0.03492424242424243,0.0020000000000000005,0.28721013779797006,0.0020000000000000005,0.012057500000000002,0.21000000000000002
zephyr,16,mis,20,projected_full,20,std,20,1.0,2199.5115735577297,0.020587556921597087,0.048018930081360156,0.002097617696340303,0.025145947288103276,0.002097617696340303,0.005771834088918357,0.08984264021053699
zephyr,16,mis,20,projected_topology,20,mean,20,1.0,2044.7232000000004,0.09275000000000003,0.031313131313131314,0.0019500000000000003,0.3257610769212429,0.0019500000000000003,0.0,0.0
zephyr,16,mis,20,projected_topology,20,std,20,1.0,2002.6154554264683,0.02175976792155652,0.048115173187129504,0.0019098429254784282,0.03781544709838686,0.0019098429254784282,0.0,0.0
zephyr,16,mis,20,projected_up_support,20,mean,20,1.0,1782.5791999999997,0.07515000000000002,0.03335858585858586,0.0016999999999999997,0.28730870567061917,0.0016999999999999997,0.00030000000000000003,0.006
zephyr,16,mis,20,projected_up_support,20,std,20,1.0,2046.7386989614868,0.022720640395904337,0.045731612084448384,0.0019519221295943134,0.02174909486875704,0.0019519221295943134,0.00025495097567963923,0.005099019513592784
zephyr,16,mis,20,unbalanced,20,mean,20,1.0,1782.5792000000001,0.1333,0.018434343434343435,0.0017000000000000001,0.33156358897761534,0.0017000000000000001,0.00083,0.01645
zephyr,16,mis,20,unbalanced,20,std,20,1.0,1558.820290278825,0.041239665372066255,0.0372172878875164,0.0014866068747318507,0.032273299864712925,0.0014866068747318507,0.0008058225611137977,0.015720925545272452
