method,family,anchor_size,equality_multiplier,inequality_multiplier,projection_measure,projection_penalty_template,projection_penalty_template_lambda1,projection_penalty_template_lambda2,tuning_objective,objective_value,success,status,message,projection_method,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,selected_projection_combo
projected_full,tsp,4,0.8811736596088963,0.4747954527232552,q2,heaviside,,,gap,0.11685694482983161,True,0,"nelder_mead restarts=9 successful_restarts=9 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=1433 best_restart=1 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.8811736596088963, 0.4747954527232552]",projected_full,fixed,fixed_cli,1,True,True
projected_up_support,tsp,4,0.8762084111950093,0.4704565782277938,q2,heaviside,,,gap,1.3466649894228031e-08,True,0,"nelder_mead restarts=9 successful_restarts=9 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=847 best_restart=4 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.8762084111950093, 0.4704565782277938]",projected_up_support,fixed,fixed_cli,1,True,True
projected_pegasus,tsp,4,0.14829292267525618,0.001,q2,heaviside,,,gap,1455.1304011461834,True,0,"nelder_mead restarts=9 successful_restarts=9 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=2104 best_restart=1 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.14829292267525618, 2.5187472289404174e-14]",projected_pegasus,fixed,fixed_cli,1,True,True
projected_chimera,tsp,4,0.1,0.001,q2,heaviside,,,gap,1534.4000001102906,True,0,"nelder_mead restarts=9 successful_restarts=9 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=756 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[2.5118864315094306e-15, 2.5118864315096807e-15]",projected_chimera,fixed,fixed_cli,1,True,True
projected_zephyr,tsp,4,0.23886904660133834,0.001,q2,heaviside,,,gap,1503.0338799709486,True,0,"nelder_mead restarts=9 successful_restarts=9 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=1877 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.23886904660133834, 1.0722984833894095e-14]",projected_zephyr,fixed,fixed_cli,1,True,True
projected_full,mdkp,15,0.0,0.13059191396582762,q2,heaviside,,,gap,14326.822259498664,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=222 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.13059191396582762],projected_full,fixed,fixed_cli,1,True,True
projected_up_support,mdkp,15,0.0,0.1297856319118529,q2,heaviside,,,gap,14312.018480982077,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=216 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.1297856319118529],projected_up_support,fixed,fixed_cli,1,True,True
projected_pegasus,mdkp,15,0.0,0.063160534953693,q2,heaviside,,,gap,38784.17049385398,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=260 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.063160534953693],projected_pegasus,fixed,fixed_cli,1,True,True
projected_chimera,mdkp,15,0.0,0.06205693719508509,q2,heaviside,,,gap,42886.316004668304,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=218 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.06205693719508509],projected_chimera,fixed,fixed_cli,1,True,True
projected_zephyr,mdkp,15,0.0,0.06595109991465173,q2,heaviside,,,gap,38293.75273734839,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=224 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.06595109991465173],projected_zephyr,fixed,fixed_cli,1,True,True
projected_full,mis,16,0.0,0.21673921695684226,q2,heaviside,,,gap,2.1673921695684225e-09,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=94 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.21673921695684226],projected_full,fixed,fixed_cli,1,True,True
projected_up_support,mis,16,0.0,0.21673921695684226,q2,heaviside,,,gap,2.1673921695684225e-09,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=94 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.21673921695684226],projected_up_support,fixed,fixed_cli,1,True,True
projected_pegasus,mis,16,0.0,0.21672779466971326,q2,heaviside,,,gap,0.10368731548184218,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=154 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.21672779466971326],projected_pegasus,fixed,fixed_cli,1,True,True
projected_chimera,mis,16,0.0,0.2162888739917425,q2,heaviside,,,gap,0.17907277531468052,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=100 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.2162888739917425],projected_chimera,fixed,fixed_cli,1,True,True
projected_zephyr,mis,16,0.0,0.2165070820659811,q2,heaviside,,,gap,0.05422040329672842,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=158 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.2165070820659811],projected_zephyr,fixed,fixed_cli,1,True,True
projected_full,mis-hub,16,0.0,0.21673921695684226,q2,heaviside,,,gap,2.1673921695684225e-09,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=94 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.21673921695684226],projected_full,fixed,fixed_cli,1,True,True
projected_up_support,mis-hub,16,0.0,0.21673921695684226,q2,heaviside,,,gap,2.1673921695684225e-09,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=94 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.21673921695684226],projected_up_support,fixed,fixed_cli,1,True,True
projected_pegasus,mis-hub,16,0.0,0.17895723141395556,q2,heaviside,,,gap,0.15943356650577972,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=152 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.17895723141395556],projected_pegasus,fixed,fixed_cli,1,True,True
projected_chimera,mis-hub,16,0.0,0.17516706515061034,q2,heaviside,,,gap,0.08254381361350677,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=144 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.17516706515061034],projected_chimera,fixed,fixed_cli,1,True,True
projected_zephyr,mis-hub,16,0.0,0.2101537923167451,q2,heaviside,,,gap,0.15223485486913715,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=164 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.2101537923167451],projected_zephyr,fixed,fixed_cli,1,True,True
projected_full,mis-dense,16,0.0,0.21673921695684226,q2,heaviside,,,gap,2.1673921695684225e-09,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=94 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.21673921695684226],projected_full,fixed,fixed_cli,1,True,True
projected_up_support,mis-dense,16,0.0,0.21673921695684226,q2,heaviside,,,gap,2.1673921695684225e-09,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=94 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.21673921695684226],projected_up_support,fixed,fixed_cli,1,True,True
projected_pegasus,mis-dense,16,0.0,0.06550462619387157,q2,heaviside,,,gap,0.43321732188003087,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=142 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.06550462619387157],projected_pegasus,fixed,fixed_cli,1,True,True
projected_chimera,mis-dense,16,0.0,0.04491701516008144,q2,heaviside,,,gap,0.1430705784324353,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=148 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.04491701516008144],projected_chimera,fixed,fixed_cli,1,True,True
projected_zephyr,mis-dense,16,0.0,0.06188969567352756,q2,heaviside,,,gap,0.536172084817373,True,0,nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=140 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.06188969567352756],projected_zephyr,fixed,fixed_cli,1,True,True
