family,size,method,normalization_regime,per_constraint_standardization,projection_method,projection_measure,projection_penalty_template,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_equality_multiplier,projected_inequality_multiplier,projected_standardize,sqa_schedule_id,sqa_schedule_kind,sqa_beta_scale,sqa_schedule_total_time,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_global_multiplier,up_lambda0,up_lambda1,up_lambda2
mdkp,5,projected_chimera,per_constraint_standardized_rows_v1,True,projected_chimera,q2,heaviside,fixed,fixed_cli,1,0.0,0.06205693719508509,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,5,projected_full,per_constraint_standardized_rows_v1,True,projected_full,q2,heaviside,fixed,fixed_cli,1,0.0,0.13059191396582762,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,5,projected_pegasus,per_constraint_standardized_rows_v1,True,projected_pegasus,q2,heaviside,fixed,fixed_cli,1,0.0,0.063160534953693,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,5,projected_up_support,per_constraint_standardized_rows_v1,True,projected_up_support,q2,heaviside,fixed,fixed_cli,1,0.0,0.1297856319118529,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,5,projected_zephyr,per_constraint_standardized_rows_v1,True,projected_zephyr,q2,heaviside,fixed,fixed_cli,1,0.0,0.06595109991465173,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,5,unbalanced,per_constraint_standardized_rows_v1,True,,,,,,,,,,standard_t50,standard,1.0,50.0,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,10,projected_chimera,per_constraint_standardized_rows_v1,True,projected_chimera,q2,heaviside,fixed,fixed_cli,1,0.0,0.06205693719508509,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,10,projected_full,per_constraint_standardized_rows_v1,True,projected_full,q2,heaviside,fixed,fixed_cli,1,0.0,0.13059191396582762,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,10,projected_pegasus,per_constraint_standardized_rows_v1,True,projected_pegasus,q2,heaviside,fixed,fixed_cli,1,0.0,0.063160534953693,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,10,projected_up_support,per_constraint_standardized_rows_v1,True,projected_up_support,q2,heaviside,fixed,fixed_cli,1,0.0,0.1297856319118529,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,10,projected_zephyr,per_constraint_standardized_rows_v1,True,projected_zephyr,q2,heaviside,fixed,fixed_cli,1,0.0,0.06595109991465173,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,10,unbalanced,per_constraint_standardized_rows_v1,True,,,,,,,,,,standard_t50,standard,1.0,50.0,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,15,projected_chimera,per_constraint_standardized_rows_v1,True,projected_chimera,q2,heaviside,fixed,fixed_cli,1,0.0,0.06205693719508509,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,15,projected_full,per_constraint_standardized_rows_v1,True,projected_full,q2,heaviside,fixed,fixed_cli,1,0.0,0.13059191396582762,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,15,projected_pegasus,per_constraint_standardized_rows_v1,True,projected_pegasus,q2,heaviside,fixed,fixed_cli,1,0.0,0.063160534953693,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,15,projected_up_support,per_constraint_standardized_rows_v1,True,projected_up_support,q2,heaviside,fixed,fixed_cli,1,0.0,0.1297856319118529,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,15,projected_zephyr,per_constraint_standardized_rows_v1,True,projected_zephyr,q2,heaviside,fixed,fixed_cli,1,0.0,0.06595109991465173,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,15,unbalanced,per_constraint_standardized_rows_v1,True,,,,,,,,,,standard_t50,standard,1.0,50.0,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,20,projected_chimera,per_constraint_standardized_rows_v1,True,projected_chimera,q2,heaviside,fixed,fixed_cli,1,0.0,0.06205693719508509,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,20,projected_full,per_constraint_standardized_rows_v1,True,projected_full,q2,heaviside,fixed,fixed_cli,1,0.0,0.13059191396582762,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,20,projected_pegasus,per_constraint_standardized_rows_v1,True,projected_pegasus,q2,heaviside,fixed,fixed_cli,1,0.0,0.063160534953693,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,20,projected_up_support,per_constraint_standardized_rows_v1,True,projected_up_support,q2,heaviside,fixed,fixed_cli,1,0.0,0.1297856319118529,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,20,projected_zephyr,per_constraint_standardized_rows_v1,True,projected_zephyr,q2,heaviside,fixed,fixed_cli,1,0.0,0.06595109991465173,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mdkp,20,unbalanced,per_constraint_standardized_rows_v1,True,,,,,,,,,,standard_t50,standard,1.0,50.0,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mis,8,projected_chimera,per_constraint_standardized_rows_v1,True,projected_chimera,q2,heaviside,fixed,fixed_cli,1,0.0,0.2162888739917425,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,8,projected_full,per_constraint_standardized_rows_v1,True,projected_full,q2,heaviside,fixed,fixed_cli,1,0.0,0.21673921695684226,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,8,projected_pegasus,per_constraint_standardized_rows_v1,True,projected_pegasus,q2,heaviside,fixed,fixed_cli,1,0.0,0.21672779466971326,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,8,projected_up_support,per_constraint_standardized_rows_v1,True,projected_up_support,q2,heaviside,fixed,fixed_cli,1,0.0,0.21673921695684226,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,8,projected_zephyr,per_constraint_standardized_rows_v1,True,projected_zephyr,q2,heaviside,fixed,fixed_cli,1,0.0,0.2165070820659811,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,8,unbalanced,per_constraint_standardized_rows_v1,True,,,,,,,,,,standard_t50,standard,1.0,50.0,,0.19202893651249733,0.6249976775351576,0.3750023224648424,sum_to_one,,,0.12001763933985705,0.07201129717264027
mis,12,projected_chimera,per_constraint_standardized_rows_v1,True,projected_chimera,q2,heaviside,fixed,fixed_cli,1,0.0,0.2162888739917425,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,12,projected_full,per_constraint_standardized_rows_v1,True,projected_full,q2,heaviside,fixed,fixed_cli,1,0.0,0.21673921695684226,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,12,projected_pegasus,per_constraint_standardized_rows_v1,True,projected_pegasus,q2,heaviside,fixed,fixed_cli,1,0.0,0.21672779466971326,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,12,projected_up_support,per_constraint_standardized_rows_v1,True,projected_up_support,q2,heaviside,fixed,fixed_cli,1,0.0,0.21673921695684226,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,12,projected_zephyr,per_constraint_standardized_rows_v1,True,projected_zephyr,q2,heaviside,fixed,fixed_cli,1,0.0,0.2165070820659811,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,12,unbalanced,per_constraint_standardized_rows_v1,True,,,,,,,,,,standard_t50,standard,1.0,50.0,,0.19202893651249733,0.6249976775351576,0.3750023224648424,sum_to_one,,,0.12001763933985705,0.07201129717264027
mis,16,projected_chimera,per_constraint_standardized_rows_v1,True,projected_chimera,q2,heaviside,fixed,fixed_cli,1,0.0,0.2162888739917425,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,16,projected_full,per_constraint_standardized_rows_v1,True,projected_full,q2,heaviside,fixed,fixed_cli,1,0.0,0.21673921695684226,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,16,projected_pegasus,per_constraint_standardized_rows_v1,True,projected_pegasus,q2,heaviside,fixed,fixed_cli,1,0.0,0.21672779466971326,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,16,projected_up_support,per_constraint_standardized_rows_v1,True,projected_up_support,q2,heaviside,fixed,fixed_cli,1,0.0,0.21673921695684226,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,16,projected_zephyr,per_constraint_standardized_rows_v1,True,projected_zephyr,q2,heaviside,fixed,fixed_cli,1,0.0,0.2165070820659811,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,16,unbalanced,per_constraint_standardized_rows_v1,True,,,,,,,,,,standard_t50,standard,1.0,50.0,,0.19202893651249733,0.6249976775351576,0.3750023224648424,sum_to_one,,,0.12001763933985705,0.07201129717264027
mis,20,projected_chimera,per_constraint_standardized_rows_v1,True,projected_chimera,q2,heaviside,fixed,fixed_cli,1,0.0,0.2162888739917425,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,20,projected_full,per_constraint_standardized_rows_v1,True,projected_full,q2,heaviside,fixed,fixed_cli,1,0.0,0.21673921695684226,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,20,projected_pegasus,per_constraint_standardized_rows_v1,True,projected_pegasus,q2,heaviside,fixed,fixed_cli,1,0.0,0.21672779466971326,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,20,projected_up_support,per_constraint_standardized_rows_v1,True,projected_up_support,q2,heaviside,fixed,fixed_cli,1,0.0,0.21673921695684226,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,20,projected_zephyr,per_constraint_standardized_rows_v1,True,projected_zephyr,q2,heaviside,fixed,fixed_cli,1,0.0,0.2165070820659811,True,standard_t50,standard,1.0,50.0,,,,,,,,,
mis,20,unbalanced,per_constraint_standardized_rows_v1,True,,,,,,,,,,standard_t50,standard,1.0,50.0,,0.19202893651249733,0.6249976775351576,0.3750023224648424,sum_to_one,,,0.12001763933985705,0.07201129717264027
